nitrogen,phosporous,potassium,ec,ph,temp,hum
16,23,46,232,7,28.5,15.4
16,23,46,230,7,28.5,15.4
16,23,46,232,7,28.5,15.4
16,23,46,233,7,28.5,15.4
16,23,46,230,7,28.5,15.4
16,23,46,231,7,28.5,15.5
16,23,46,233,7,28.5,15.4
16,23,46,232,7,28.5,15.4
16,23,46,233,7,28.5,15.4
16,23,46,231,7,28.5,15.4
16,23,46,233,7,28.5,15.4
16,23,46,231,7,28.5,15.4
16,23,46,233,7,28.5,15.4
16,23,46,233,7,28.5,15.4
16,23,46,234,7,28.5,15.5
16,23,46,231,7,28.5,15.4
16,23,46,232,7,28.5,15.4
16,23,46,232,7,28.5,15.4
16,23,46,232,7,28.5,15.4
16,23,46,233,7,28.5,15.4
16,23,46,232.05,7,28.5,15.41
